,Player,Grade,POS
0,Travis Kelce,A+,TE
1,George Kittle,A+,TE
2,Austin Hooper,A,TE
3,Mark Andrews,C+,TE
4,Mike Gesicki,C+,TE
5,Jack Doyle,C+,TE
6,O.J. Howard,C,TE
7,Eric Ebron,C,TE
8,Jonnu Smith,C-,TE
9,Gerald Everett,C-,TE
10,Greg Olsen,C-,TE
11,T.J. Hockenson,C-,TE
