,Player,Grade,POS
0,Darren Waller,A,TE
1,Travis Kelce,B+,TE
2,Hunter Henry,B-,TE
3,Zach Ertz,B-,TE
4,Evan Engram,C+,TE
5,Dallas Goedert,C,TE
6,Mark Andrews,C,TE
7,Eric Ebron,C,TE
8,Cameron Brate,C-,TE
9,Jonnu Smith,D+,TE
10,Vance McDonald,D+,TE
11,Jimmy Graham,D+,TE
12,Darren Fells,D+,TE
13,Greg Olsen,D+,TE
14,Jack Doyle,D,TE
15,Jacob Hollister,D-,TE
16,Kyle Rudolph,D-,TE
17,Irv Smith,D-,TE
18,Jason Witten,D-,TE
19,Noah Fant,F,TE
20,Chris Herndon,F,TE
21,Mike Gesicki,F,TE
22,Dawson Knox,F,TE
23,Jordan Akins,,TE
24,Trey Burton,,TE
25,Tyler Kroft,,TE
26,Ryan Griffin,,TE
27,Benjamin Watson,,TE
28,Ricky Seals,,TE
